,cell_0_0,cell_1_0,cell_2_0,cell_3_0,cell_4_0,cell_5_0,cell_6_0,cell_7_0,cell_8_0,cell_9_0,cell_10_0,cell_11_0,cell_12_0,cell_13_0,cell_14_0,cell_15_0,cell_16_0,cell_17_0,cell_18_0,cell_19_0,cell_0_1,cell_1_1,cell_2_1,cell_3_1,cell_4_1,cell_5_1,cell_6_1,cell_7_1,cell_8_1,cell_9_1,cell_10_1,cell_11_1,cell_12_1,cell_13_1,cell_14_1,cell_15_1,cell_16_1,cell_17_1,cell_18_1,cell_19_1,cell_0_2,cell_1_2,cell_2_2,cell_3_2,cell_4_2,cell_5_2,cell_6_2,cell_7_2,cell_8_2,cell_9_2,cell_10_2,cell_11_2,cell_12_2,cell_13_2,cell_14_2,cell_15_2,cell_16_2,cell_17_2,cell_18_2,cell_19_2,cell_0_3,cell_1_3,cell_2_3,cell_3_3,cell_4_3,cell_5_3,cell_6_3,cell_7_3,cell_8_3,cell_9_3,cell_10_3,cell_11_3,cell_12_3,cell_13_3,cell_14_3,cell_15_3,cell_16_3,cell_17_3,cell_18_3,cell_19_3,cell_0_4,cell_1_4,cell_2_4,cell_3_4,cell_4_4,cell_5_4,cell_6_4,cell_7_4,cell_8_4,cell_9_4,cell_10_4,cell_11_4,cell_12_4,cell_13_4,cell_14_4,cell_15_4,cell_16_4,cell_17_4,cell_18_4,cell_19_4,cell_0_5,cell_1_5,cell_2_5,cell_3_5,cell_4_5,cell_5_5,cell_6_5,cell_7_5,cell_8_5,cell_9_5,cell_10_5,cell_11_5,cell_12_5,cell_13_5,cell_14_5,cell_15_5,cell_16_5,cell_17_5,cell_18_5,cell_19_5
gene_0,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,0.24296981,1.0779529,-0.35531443,0.1523389,0.09374371,0.48411456,0.172115,-0.033302575,0.7719721,-1.0809705,-0.02821362,-0.38593966,-0.7404542,0.14059633,-0.17618668,-0.010858923,0.47476286,-0.5524075,0.35454854,0.065735936,-0.21945494,0.27558565,0.4848764,-0.18489286,-0.3343911,0.55547994,0.5643708,0.6754421,0.059577584,0.297468,-0.18254218,0.01245743,0.44699287,-0.88989174,-0.021632373,1.4246405,-0.28699446,-0.25457126,0.25565952,0.3351542,-0.41995293,0.3523298,-0.6510131,-0.20784414,0.6700722,-0.2194417,0.05952418,-0.05510649,-0.121878445,0.043684274,-0.063741624,-0.005130112,-0.4436535,0.712903,-0.50800574,0.5374974,0.062103212,0.6417493,0.88841426,0.2098086,-0.33739725,-0.61659336,0.20411181,-0.15804365,-0.25153297,0.007885458,0.6157358,-0.25183904,0.106714666,0.22582325,0.7581957,-0.46404034,0.9412029,0.44768816,-0.038829297,0.40294248,0.28195333,-0.078579664,-0.2274571,0.31846404,-0.20988397,0.22272961,0.25653365,0.5400152,0.11182928,0.34613562,0.5448853,0.10156953,0.47363728,0.22902283,0.019237041,0.41392308,0.44685015,-0.36471698,0.6766278,-0.4626302,-0.36111623,-0.09277265,-0.6881591,1.011514,0.64627755
gene_1,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.13212857,0.29325348,-0.03006351,-0.38515854,0.23120949,1.3461801,0.4932441,0.5422838,0.5054922,-0.055609137,0.2837718,0.18274134,0.09832151,-0.10325307,-0.040742278,0.40650144,0.69590133,-0.15951136,-0.2534843,0.4210413,0.58677006,0.5671351,1.1578734,-0.4499947,0.21888122,1.0656037,-0.06411451,-0.35544384,0.37680757,0.34891748,0.064251006,-0.011986673,0.49720094,-0.1650568,-0.025966704,-0.24366188,-0.11810017,0.10207382,-0.12253767,0.8543534,-0.05270183,0.15138634,-0.49899352,0.5441049,-0.04744917,0.3838156,0.025218606,-0.5297129,-0.11348106,0.1573081,-0.81546247,0.7374312,0.8437879,-0.15923537,1.3008935,-0.27630422,0.1810916,0.973962,-0.13117263,0.3401433,-0.09388149,0.845284,0.08237487,0.0093076825,-0.14482999,0.007802069,0.34730384,0.6560875,-0.4464774,-0.54784435,0.4512379,0.5502212,-0.3113488,0.24667865,0.6490549,0.8443665,0.054840565,-0.3942834,-0.009054869,-0.40700787,0.06581968,0.95856786,0.15661418,0.08281493,-0.03344661,0.014042556,-0.037873805,0.5263191,0.13283929,0.020216793,0.44605005,-0.5911287,0.005260706,-0.8504152,0.010637164,0.8332575,0.1774044,1.1985472,0.29028785,0.7276975,-0.768754
