,cell_0_1,cell_1_1,cell_2_1,cell_3_1,cell_4_1,cell_5_1,cell_6_1,cell_7_1,cell_8_1,cell_9_1,cell_10_1,cell_11_1,cell_12_1,cell_13_1,cell_14_1,cell_15_1,cell_16_1,cell_17_1,cell_18_1,cell_19_1,cell_0_2,cell_1_2,cell_2_2,cell_3_2,cell_4_2,cell_5_2,cell_6_2,cell_7_2,cell_8_2,cell_9_2,cell_10_2,cell_11_2,cell_12_2,cell_13_2,cell_14_2,cell_15_2,cell_16_2,cell_17_2,cell_18_2,cell_19_2,cell_0_3,cell_1_3,cell_2_3,cell_3_3,cell_4_3,cell_5_3,cell_6_3,cell_7_3,cell_8_3,cell_9_3,cell_10_3,cell_11_3,cell_12_3,cell_13_3,cell_14_3,cell_15_3,cell_16_3,cell_17_3,cell_18_3,cell_19_3,cell_0_4,cell_1_4,cell_2_4,cell_3_4,cell_4_4,cell_5_4,cell_6_4,cell_7_4,cell_8_4,cell_9_4,cell_10_4,cell_11_4,cell_12_4,cell_13_4,cell_14_4,cell_15_4,cell_16_4,cell_17_4,cell_18_4,cell_19_4,cell_0_5,cell_1_5,cell_2_5,cell_3_5,cell_4_5,cell_5_5,cell_6_5,cell_7_5,cell_8_5,cell_9_5,cell_10_5,cell_11_5,cell_12_5,cell_13_5,cell_14_5,cell_15_5,cell_16_5,cell_17_5,cell_18_5,cell_19_5
gene_0,1.0822065,-0.31386644,0.15934603,0.11961591,0.500414,0.1791555,-0.007362902,0.8002809,-0.98920214,0.070111275,-0.32756174,-0.68328094,0.19063246,-0.16530548,0.005954385,0.5242001,-0.49538326,0.355425,0.11199224,-0.17870015,0.3101279,0.511323,-0.17451267,-0.30993864,0.5558368,0.6197675,0.69794285,0.12175691,0.33299798,-0.15764806,0.017909594,0.47167736,-0.81869423,0.011052787,1.4262296,-0.21076107,-0.23966448,0.26435906,0.33641252,-0.38923675,0.38483286,-0.5719878,-0.18125293,0.6725897,-0.19978799,0.13774335,-0.027054608,-0.075005054,0.06387904,-0.058407735,0.011813641,-0.41783446,0.72949463,-0.47767818,0.59458154,0.09962565,0.65886986,0.9044832,0.22118609,-0.29136142,-0.5556959,0.23569214,-0.13481617,-0.23034221,0.009220906,0.65106404,-0.22164643,0.1193714,0.25131273,0.76240534,-0.42226177,0.94124156,0.4715302,-0.018342972,0.4361161,0.33121556,-0.034811616,-0.18330753,0.38369572,-0.18449597,0.22889447,0.2724681,0.5479581,0.14042556,0.4175589,0.56301653,0.12661606,0.49006826,0.25239345,0.07822502,0.44320363,0.45950687,-0.33032325,0.68318594,-0.42557353,-0.33532852,-0.07650171,-0.6460726,1.0306715,0.665864
gene_1,0.29995024,-0.024818838,-0.36633897,0.23324206,1.346864,0.50297093,0.5443352,0.5060399,-0.05094844,0.2902612,0.18975759,0.099297956,-0.09182018,-0.035207123,0.40766418,0.69590455,-0.15355745,-0.24845496,0.42365593,0.59034145,0.5719409,1.1590315,-0.4398444,0.22403672,1.0690318,-0.055003226,-0.34549016,0.38057813,0.3569144,0.07185924,-0.00480026,0.5008894,-0.16203697,-0.017539024,-0.22930872,-0.10154486,0.10376783,-0.12077767,0.86014676,-0.038452864,0.15444829,-0.48189485,0.5466366,-0.039245486,0.3964696,0.026663184,-0.50964,-0.110101834,0.15855744,-0.80265266,0.7380396,0.8499469,-0.1548476,1.30472,-0.27048197,0.18841136,0.98400474,-0.1246115,0.3443583,-0.079132676,0.8543225,0.08970678,0.012778491,-0.12838352,0.015657067,0.3515224,0.65813965,-0.43727493,-0.53997576,0.45608398,0.5566716,-0.30489326,0.25500506,0.65349007,0.84986013,0.06814563,-0.3751427,-0.00530079,-0.3982582,0.07282305,0.95869017,0.17649269,0.09198338,-0.023215473,0.02162826,-0.026511073,0.53398246,0.13721791,0.022804484,0.4578398,-0.56704986,0.013428271,-0.8310294,0.019646525,0.8391321,0.1787506,1.2030659,0.29418477,0.72931856,-0.75317264
