,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9
gene_0,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606,0.7494341170382606
gene_1,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505,0.35890619161456505
